relu,256,256,0.001,4,62.335,85.8439,119.6749
relu,256,256,0.001,4,60.513,85.8439,119.6749
relu,32,128,0.001,4,43.250,85.8487,119.6791
relu,64,128,0.001,4,49.746,85.8283,119.6631
relu,128,128,0.001,4,46.823,85.8489,119.6795
relu,256,256,0.001,4,83.745,85.8439,119.6749
relu,512,256,0.001,4,177.863,85.8184,119.6571
tanh,32,64,0.001,4,67.749,85.8356,119.6677
tanh,64,64,0.001,4,78.966,85.8975,119.7116
tanh,128,128,0.001,4,95.517,85.8665,119.6895
tanh,256,128,0.001,4,74.718,85.8773,119.6981
tanh,512,128,0.001,4,89.797,85.8638,119.6893
sigmoid,32,64,0.001,4,125.627,85.8528,119.6815
sigmoid,64,64,0.001,4,126.673,85.8685,119.6921
sigmoid,128,64,0.001,4,95.268,85.8843,119.7031
sigmoid,256,128,0.001,4,156.734,85.8777,119.6999
sigmoid,512,128,0.001,4,115.507,85.8694,119.6941
relu,256,256,0.001,1,157.908,85.8087,119.6477
relu,256,256,0.001,2,130.635,85.8176,119.6562
relu,256,256,0.001,4,65.836,85.8439,119.6749
relu,256,256,0.001,8,104.511,85.8499,119.6802
